Application_ID,Age,Education_Level,Years_of_Experience,Skills,Previous_Job_Experience,Expected_Salary,Job_Level,Location,Application_Status
4b896e58-5a91-474d-923f-31d35ec7349f,58,,1.0,JavaScript,No,136183.66153366456,Lead,Urban,Suitable
7bc2ce13-2602-428b-9007-f3cdb7d8d3de,42,High School,22.0,C++,Yes,,Lead,Suburban,Not Suitable
ebb94eb8-ba5d-4551-9877-4aeff1781ac7,54,Associate Degree,22.0,Python,No,76455.20077763041,Senior,Urban,Suitable
b80482cc-43ac-4e29-b00f-af9e6fbffcfc,50,High School,,Excel,No,32120.19991623444,Senior,Urban,Not Suitable
b783a4ac-c3c4-4317-a0db-1f0fb90c9ae9,21,High School,25.0,Java,Yes,94130.73027277834,Lead,Suburban,Not Suitable
d08ac175-ef2d-4ad3-b4fb-0b7d0a55c7e7,29,Bachelor's Degree,0.0,SQL,Yes,149503.7849474433,Lead,Urban,Not Suitable
c081497e-c093-448e-b180-b2c85ff066de,30,Associate Degree,,Java,No,57963.8070546671,Junior,Rural,Not Suitable
32d1b38a-fbc5-473f-bcc5-5136e09219e0,56,High School,0.0,C++,No,120949.78932177732,Lead,Suburban,Not Suitable
4ec05e8c-9694-480e-8917-cf7f13053f14,37,Master's Degree,21.0,Java,Yes,48401.44699013676,Senior,Rural,Suitable
d9a6b033-798c-487e-b5b9-2abe0cdf48ed,35,,2.0,Python,No,73373.45843447902,Junior,Urban,Not Suitable
94bb341e-8a41-4af1-a97e-78203ac1edaa,35,High School,13.0,Excel,Yes,99961.86145658905,Junior,Suburban,Suitable
4685d709-8eec-45ff-88f6-0e06d9c4744a,31,Master's Degree,13.0,Python,No,56268.57224298405,Mid,Rural,Not Suitable
26d45ba4-766e-4f89-b1c3-c28124fca64e,34,High School,,Java,No,73140.25923791398,Senior,Rural,Suitable
0d3feeff-0125-486f-a298-339c4a304951,38,Bachelor's Degree,,SQL,No,136395.31445385318,Lead,Rural,Not Suitable
fc96f29f-b395-4d1d-895e-24e3b249a294,43,Bachelor's Degree,17.0,JavaScript,No,39552.689135493245,Senior,Urban,Suitable
00073698-5597-47fb-8976-d47d839f720f,53,,1.0,C++,No,136211.89490231103,Junior,Rural,Not Suitable
b73a6ae8-cbbc-4e7c-9a8d-cefe10fa9441,43,High School,,JavaScript,No,63907.44715977918,Mid,Urban,Not Suitable
c486feda-6a45-4517-8fa9-1a177f5119fd,45,Master's Degree,4.0,SQL,Yes,41548.60419861527,Junior,Suburban,Not Suitable
d1b6af76-97cc-495f-931c-c7508a70d119,51,Bachelor's Degree,29.0,JavaScript,No,87818.29814683436,Junior,Rural,Suitable
66532fb8-1f4d-4208-bd78-5b92826c3af0,42,Associate Degree,14.0,JavaScript,No,62908.55670610932,Junior,Urban,Suitable
843f3292-1af3-46f1-9eaa-7f54cb8ffda3,25,High School,,JavaScript,Yes,146165.85166101804,Senior,Urban,Suitable
14e2f22b-f273-4af0-9ea7-175b7da23a18,22,Master's Degree,1.0,JavaScript,No,60616.064755571344,Mid,Urban,Not Suitable
3ebdae60-1868-4582-ad69-76c783fdde3f,45,,12.0,SQL,Yes,134381.99894888245,Senior,Suburban,Not Suitable
6bfe7f1c-e8c9-4f9b-8a53-6225213e59ee,51,High School,19.0,SQL,Yes,146437.40177526962,Senior,Urban,Suitable
8e2f24a9-9d4d-4196-98b1-88bb00df118a,43,Associate Degree,,SQL,Yes,73739.00321818845,Senior,Suburban,Not Suitable
353b4076-5bda-4efd-ba55-567991d11e5b,45,Associate Degree,3.0,Python,No,,Lead,Urban,Suitable
a50e7250-f4e9-45b7-a774-5d1824bfa11a,53,Bachelor's Degree,29.0,SQL,No,,Junior,Urban,Not Suitable
94672086-86ef-48fa-be1a-7e1116aad84f,44,Master's Degree,6.0,JavaScript,No,,Mid,Urban,Not Suitable
7a173607-a578-4318-8d5c-8a2e9b1461f1,34,High School,3.0,JavaScript,No,114798.09064099604,Mid,Rural,Not Suitable
aba6edbc-9e0f-42b6-b299-3b35806e2b94,37,Master's Degree,,JavaScript,Yes,85644.90289478845,Senior,Rural,Not Suitable
f32e8650-1885-4d22-b2b9-37fcfcfed667,31,,9.0,SQL,Yes,,Senior,Suburban,Not Suitable
2db40537-516d-4a65-a15c-1877f93dd8a0,38,Associate Degree,15.0,Excel,Yes,141568.535494778,Junior,Suburban,Suitable
7e674848-1787-40e8-b1dc-5b93ca43adc3,49,Bachelor's Degree,,JavaScript,Yes,82885.79243205197,Senior,Rural,Not Suitable
5e534f21-3e47-4ada-8680-89dcbc44bd78,40,,25.0,Excel,Yes,97343.7538854978,Junior,Urban,Suitable
50d9daf7-9b22-40b1-9d1e-84c0941eb4fc,54,,26.0,Python,No,,Junior,Suburban,Not Suitable
0ced9878-566b-4853-886e-062888ca0aa9,56,Associate Degree,0.0,C++,No,110794.35064309988,Junior,Rural,Suitable
f3760461-609b-42bc-9827-72c2a7790bc5,25,High School,,Java,Yes,145535.39489028841,Mid,Rural,Suitable
70411f47-07fc-486f-9601-80d38ddab975,36,High School,26.0,Java,No,118806.65889087185,Lead,Suburban,Suitable
aed19a34-4b63-45f0-9eb0-1af9fa4555ed,46,Bachelor's Degree,28.0,Java,Yes,121813.72848615704,Lead,Rural,Not Suitable
2ab9e33d-e478-4f79-9156-bf9a218c4aca,22,Bachelor's Degree,1.0,Excel,No,,Mid,Urban,Suitable
2cb8f94d-41f9-4424-ba1a-c3d9213ed05d,49,Master's Degree,25.0,C++,Yes,79743.19686074974,Junior,Urban,Suitable
4de587a7-98f9-43f1-8c0e-8a9f1e488986,37,Bachelor's Degree,12.0,Communication,No,,Lead,Suburban,Not Suitable
e745bc97-f68c-4d6d-9b71-51f9de9e427d,36,Bachelor's Degree,,Communication,No,117879.13923935255,Senior,Urban,Suitable
d00dfc38-1cc0-4453-ba5b-a4e76ce5f945,41,Associate Degree,1.0,Communication,No,33967.58788015217,Junior,Rural,Not Suitable
9cbc1413-e1c5-401a-8930-52f3ed56d4f8,49,Bachelor's Degree,6.0,Communication,No,47343.30849519206,Mid,Urban,Not Suitable
65552f64-f260-46ad-a456-b5e1a7831796,42,,,Communication,No,126316.76261827978,Mid,Urban,Not Suitable
aeac85ec-75b9-4c35-b2ef-900452dfd4ab,44,High School,27.0,Communication,Yes,52551.19050694958,Lead,Suburban,Not Suitable
1c07a2d6-4c50-4d83-ab32-39be216093d6,29,Master's Degree,5.0,Excel,Yes,56341.438038095366,Junior,Rural,Suitable
342d1b90-558e-4694-a795-ca8481b45b64,28,,,JavaScript,Yes,131964.85263770266,Junior,Rural,Suitable
a8271af9-4a0b-4046-abe8-e5c5402b103d,30,Master's Degree,20.0,Communication,No,76318.46725624644,Lead,Suburban,Suitable
bad35b65-602c-4394-9abf-b2abb2c488d7,20,Master's Degree,9.0,SQL,Yes,83561.27631925052,Mid,Suburban,Suitable
8087664a-6476-4f83-bdd4-3e6cfb09993c,30,High School,8.0,Excel,No,94740.66042056624,Lead,Suburban,Suitable
ba652421-4a51-454b-84d2-6004d9c259b4,38,Master's Degree,8.0,JavaScript,Yes,56859.21134801035,Mid,Suburban,Not Suitable
9b631fd0-457d-481d-8d8e-9b5953a9a5cf,21,Bachelor's Degree,14.0,Excel,No,121307.53893799802,Mid,Rural,Suitable
36cee14d-5d05-47d3-8b06-5fbaa3f84877,47,,20.0,SQL,Yes,112766.08317170713,Lead,Rural,Suitable
26f8197f-9035-45d0-a754-43b6929d89cb,46,High School,8.0,SQL,No,118913.67365228172,Senior,Rural,Not Suitable
8bb4a086-fde6-453c-9893-9bcb6a0f49ca,56,Master's Degree,6.0,C++,Yes,,Junior,Urban,Suitable
9bf3d018-7dc2-400e-addf-99227c453743,46,Associate Degree,2.0,SQL,No,50542.61682680846,Junior,Suburban,Not Suitable
1446d322-eada-49ab-86ef-3b0a21a0f741,59,Associate Degree,16.0,C++,Yes,136399.32653533993,Junior,Suburban,Not Suitable
8b302e19-a8ce-4db6-8a28-e62d2f6fd9f3,30,Bachelor's Degree,,Python,Yes,,Senior,Urban,Suitable
849d111f-7078-4d9a-bb7c-cbf1d6a56e44,46,,26.0,Python,No,39350.51098441928,Junior,Suburban,Suitable
65864439-6b52-4267-8174-d4bbac8592cc,57,Master's Degree,,Communication,No,92291.4893129236,Junior,Urban,Suitable
0377afbf-df7f-4934-803f-d85cab4de7a4,29,Bachelor's Degree,17.0,C++,No,131030.66819325286,Junior,Rural,Suitable
01bad31f-ad45-46d3-94a8-c946ebbb52ac,44,Master's Degree,8.0,Python,No,64171.15328423183,Senior,Suburban,Suitable
15709499-1bcf-4855-8280-95a09d5251ca,49,Bachelor's Degree,16.0,Python,Yes,36840.169102783104,Mid,Rural,Suitable
c640329b-ca5e-403f-8511-0002b7ca7f4f,19,,9.0,SQL,Yes,137076.95908135799,Mid,Rural,Not Suitable
efce64c4-b762-47a2-a1dd-33bb4f5268ad,25,,26.0,JavaScript,Yes,67294.47453373604,Lead,Suburban,Not Suitable
81e0735b-c8df-47b2-9c07-31849e61036a,45,Bachelor's Degree,,Communication,No,104165.58496538163,Lead,Suburban,Suitable
6d80afa2-8e04-46b3-92c7-dcb4f4e94ca2,49,High School,8.0,Communication,No,51302.0003941765,Senior,Suburban,Not Suitable
